User_ID,Skill_Level,Learning_Pace,Career_Goal,Preferred_Medium,Available_Time,Course_Title,Course_Provider,Skill_Taught,Difficulty_Level,Medium,Duration
11,1,2,Machine Learning,Online,7,Deep Learning Advanced,Coursera,Deep Learning,2,Online,13
12,1,1,Frontend Developer,Offline,23,JavaScript Essentials,Udemy,JavaScript,3,Offline,8
13,3,1,Cloud Engineer,Online,27,Intro to AI Concepts,Coursera,Artificial Intelligence,2,Online,32
14,2,2,Backend Developer,Online,30,SQL Bootcamp,edX,SQL,2,Online,19
15,2,1,Software Architect,Online,6,Full Stack Masterclass,Coursera,Full Stack Development,2,Online,15
16,1,2,Software Architect,Offline,23,SQL Bootcamp,Coursera,SQL,3,Offline,36
17,2,3,DevOps Specialist,Online,18,DevOps Bootcamp,edX,DevOps,2,Online,35
18,2,1,Data Scientist,Offline,16,Full Stack Masterclass,Udemy,Full Stack Development,2,Offline,34
19,1,1,Machine Learning,Offline,19,System Design Advanced,Coursera,System Design,2,Offline,18
20,3,2,Cloud Engineer,Offline,12,AWS Foundations,Udemy,Cloud Computing,3,Offline,30
21,1,2,Software Architect,Online,12,Deep Learning Advanced,Udemy,Deep Learning,2,Online,32
22,1,2,Cloud Engineer,Offline,7,JavaScript Essentials,Coursera,JavaScript,1,Offline,32
23,3,2,Machine Learning,Online,20,Deep Learning Advanced,Udemy,Deep Learning,2,Online,6
24,1,2,Full Stack Developer,Offline,14,Deep Learning Advanced,Coursera,Deep Learning,3,Offline,16
25,2,2,Cloud Engineer,Offline,13,DevOps Bootcamp,Udemy,DevOps,2,Offline,35
26,1,1,Software Architect,Offline,16,System Design Advanced,Coursera,System Design,3,Offline,12
27,1,3,Machine Learning,Online,22,Full Stack Masterclass,edX,Full Stack Development,3,Online,19
28,3,3,Software Architect,Online,25,Machine Learning for Beginners,edX,Machine Learning,2,Online,15
29,2,3,Frontend Developer,Offline,11,Deep Learning Advanced,edX,Deep Learning,2,Offline,38
30,2,1,Data Scientist,Offline,12,System Design Advanced,Coursera,System Design,1,Offline,27
31,3,2,DevOps Specialist,Offline,19,DevOps Bootcamp,edX,DevOps,1,Offline,32
32,2,2,DevOps Specialist,Online,10,Full Stack Masterclass,Udemy,Full Stack Development,3,Online,7
33,2,3,Full Stack Developer,Online,21,DevOps Bootcamp,edX,DevOps,1,Online,27
34,2,3,DevOps Specialist,Offline,6,System Design Advanced,Udemy,System Design,3,Offline,17
35,3,1,Full Stack Developer,Offline,30,SQL Bootcamp,Coursera,SQL,2,Offline,37
36,1,3,Data Scientist,Offline,12,DevOps Bootcamp,edX,DevOps,1,Offline,24
37,2,1,Machine Learning,Online,16,DevOps Bootcamp,Coursera,DevOps,3,Online,11
38,3,1,Machine Learning,Offline,6,DevOps Bootcamp,Udemy,DevOps,1,Offline,6
39,3,3,Data Scientist,Online,20,SQL Bootcamp,Udemy,SQL,3,Online,13
40,3,3,Full Stack Developer,Online,15,JavaScript Essentials,Udemy,JavaScript,3,Online,39
41,3,3,Data Scientist,Online,24,DevOps Bootcamp,Udemy,DevOps,3,Online,32
42,1,3,Data Scientist,Online,28,DevOps Bootcamp,Udemy,DevOps,3,Online,14
43,3,1,AI Researcher,Offline,15,AWS Foundations,Coursera,Cloud Computing,1,Offline,33
44,1,2,Data Scientist,Offline,18,Machine Learning for Beginners,Coursera,Machine Learning,1,Offline,17
45,2,3,AI Researcher,Online,21,Intro to AI Concepts,edX,Artificial Intelligence,2,Online,15
46,2,2,Frontend Developer,Online,19,SQL Bootcamp,edX,SQL,1,Online,34
47,2,1,Data Scientist,Offline,10,DevOps Bootcamp,Udemy,DevOps,2,Offline,29
48,1,3,Frontend Developer,Offline,29,Deep Learning Advanced,edX,Deep Learning,2,Offline,9
49,2,3,AI Researcher,Offline,25,Full Stack Masterclass,edX,Full Stack Development,2,Offline,17
50,1,2,DevOps Specialist,Offline,17,System Design Advanced,Coursera,System Design,1,Offline,35
51,1,3,DevOps Specialist,Online,7,JavaScript Essentials,Coursera,JavaScript,2,Online,38
52,1,3,Backend Developer,Offline,16,DevOps Bootcamp,Coursera,DevOps,2,Offline,35
53,2,2,AI Researcher,Offline,30,JavaScript Essentials,edX,JavaScript,3,Offline,36
54,3,1,Cloud Engineer,Offline,20,AWS Foundations,Coursera,Cloud Computing,1,Offline,24
55,3,2,Backend Developer,Online,22,System Design Advanced,Coursera,System Design,2,Online,8
56,2,1,Data Scientist,Offline,14,Intro to AI Concepts,Coursera,Artificial Intelligence,2,Offline,26
57,1,1,Backend Developer,Online,19,SQL Bootcamp,Udemy,SQL,3,Online,27
58,2,3,Full Stack Developer,Online,12,Intro to AI Concepts,Udemy,Artificial Intelligence,3,Online,16
59,3,1,AI Researcher,Online,22,AWS Foundations,edX,Cloud Computing,2,Online,14
60,2,3,DevOps Specialist,Offline,6,Deep Learning Advanced,Coursera,Deep Learning,3,Offline,20
61,3,2,DevOps Specialist,Offline,14,Deep Learning Advanced,Coursera,Deep Learning,3,Offline,23
62,3,1,Full Stack Developer,Offline,10,SQL Bootcamp,Udemy,SQL,2,Offline,30
63,3,3,Machine Learning,Offline,26,AWS Foundations,Udemy,Cloud Computing,3,Offline,35
64,2,3,Software Architect,Offline,18,Machine Learning for Beginners,Coursera,Machine Learning,1,Offline,13
65,2,3,Backend Developer,Online,11,Machine Learning for Beginners,edX,Machine Learning,1,Online,16
66,3,1,Software Architect,Online,16,Deep Learning Advanced,edX,Deep Learning,2,Online,17
67,2,1,DevOps Specialist,Offline,29,Machine Learning for Beginners,edX,Machine Learning,3,Offline,17
68,2,2,AI Researcher,Online,19,SQL Bootcamp,edX,SQL,3,Online,35
69,3,2,Machine Learning,Online,17,AWS Foundations,Coursera,Cloud Computing,3,Online,31
70,1,2,Cloud Engineer,Offline,20,DevOps Bootcamp,Udemy,DevOps,3,Offline,19
71,2,3,Cloud Engineer,Offline,30,Machine Learning for Beginners,Coursera,Machine Learning,3,Offline,31
72,2,3,AI Researcher,Offline,29,Deep Learning Advanced,Coursera,Deep Learning,2,Offline,30
73,1,3,AI Researcher,Offline,25,DevOps Bootcamp,edX,DevOps,2,Offline,26
74,3,2,Data Scientist,Offline,23,Machine Learning for Beginners,Coursera,Machine Learning,1,Offline,36
75,1,2,Cloud Engineer,Offline,8,System Design Advanced,Udemy,System Design,2,Offline,13
76,1,2,Data Scientist,Online,10,Intro to AI Concepts,Udemy,Artificial Intelligence,3,Online,6
77,3,1,Frontend Developer,Offline,19,AWS Foundations,Coursera,Cloud Computing,2,Offline,29
78,3,3,AI Researcher,Online,16,JavaScript Essentials,Udemy,JavaScript,1,Online,35
79,3,3,Frontend Developer,Offline,23,Full Stack Masterclass,edX,Full Stack Development,1,Offline,40
80,3,1,Backend Developer,Online,8,SQL Bootcamp,Coursera,SQL,1,Online,15
81,2,3,AI Researcher,Online,13,SQL Bootcamp,Udemy,SQL,3,Online,34
82,3,1,Software Architect,Online,30,Full Stack Masterclass,Coursera,Full Stack Development,1,Online,23
83,3,2,Machine Learning,Offline,18,System Design Advanced,Coursera,System Design,2,Offline,9
84,2,1,Cloud Engineer,Online,16,Machine Learning for Beginners,Udemy,Machine Learning,2,Online,13
85,1,1,Backend Developer,Online,26,DevOps Bootcamp,Udemy,DevOps,2,Online,5
86,1,3,Backend Developer,Online,18,System Design Advanced,Coursera,System Design,3,Online,27
87,3,2,AI Researcher,Offline,5,Deep Learning Advanced,Coursera,Deep Learning,1,Offline,38
88,1,3,Backend Developer,Online,16,Deep Learning Advanced,Udemy,Deep Learning,3,Online,25
89,3,3,AI Researcher,Offline,27,DevOps Bootcamp,Coursera,DevOps,2,Offline,10
90,3,2,DevOps Specialist,Online,26,Machine Learning for Beginners,edX,Machine Learning,1,Online,39
91,1,3,Data Scientist,Offline,28,Intro to AI Concepts,edX,Artificial Intelligence,1,Offline,23
92,3,3,Full Stack Developer,Online,7,Deep Learning Advanced,Coursera,Deep Learning,2,Online,11
93,3,1,AI Researcher,Online,20,Intro to AI Concepts,edX,Artificial Intelligence,3,Online,13
94,1,1,DevOps Specialist,Offline,21,AWS Foundations,Coursera,Cloud Computing,3,Offline,11
95,2,3,AI Researcher,Offline,8,SQL Bootcamp,Coursera,SQL,2,Offline,28
96,3,3,Backend Developer,Offline,15,Full Stack Masterclass,Udemy,Full Stack Development,2,Offline,26
97,1,2,Backend Developer,Online,12,Machine Learning for Beginners,Udemy,Machine Learning,2,Online,39
98,2,1,Frontend Developer,Offline,19,JavaScript Essentials,edX,JavaScript,3,Offline,32
99,2,2,Full Stack Developer,Offline,14,Deep Learning Advanced,edX,Deep Learning,2,Offline,13
100,3,2,DevOps Specialist,Offline,28,JavaScript Essentials,Coursera,JavaScript,1,Offline,22
101,1,3,Frontend Developer,Online,16,JavaScript Essentials,edX,JavaScript,2,Online,25
102,3,2,Frontend Developer,Offline,23,DevOps Bootcamp,Coursera,DevOps,1,Offline,30
103,1,1,Data Scientist,Online,18,AWS Foundations,Coursera,Cloud Computing,2,Online,38
104,2,1,Full Stack Developer,Offline,29,System Design Advanced,edX,System Design,1,Offline,14
105,1,3,Backend Developer,Offline,25,AWS Foundations,edX,Cloud Computing,3,Offline,22
106,2,3,DevOps Specialist,Offline,14,AWS Foundations,Coursera,Cloud Computing,2,Offline,40
107,3,2,Full Stack Developer,Offline,10,Deep Learning Advanced,Udemy,Deep Learning,2,Offline,16
108,1,3,Full Stack Developer,Offline,14,Deep Learning Advanced,Coursera,Deep Learning,2,Offline,6
109,2,1,DevOps Specialist,Offline,5,Intro to AI Concepts,edX,Artificial Intelligence,3,Offline,32
110,1,2,Software Architect,Offline,9,SQL Bootcamp,Udemy,SQL,3,Offline,12
111,1,1,Frontend Developer,Offline,30,SQL Bootcamp,Coursera,SQL,2,Offline,21
112,2,1,DevOps Specialist,Offline,21,SQL Bootcamp,Coursera,SQL,3,Offline,35
113,3,2,Machine Learning,Offline,13,Deep Learning Advanced,Coursera,Deep Learning,1,Offline,27
114,1,3,Frontend Developer,Online,20,SQL Bootcamp,Udemy,SQL,3,Online,12
115,3,3,AI Researcher,Offline,19,Full Stack Masterclass,edX,Full Stack Development,1,Offline,16
116,2,3,AI Researcher,Online,10,Full Stack Masterclass,Udemy,Full Stack Development,1,Online,8
117,1,2,Cloud Engineer,Offline,15,Machine Learning for Beginners,edX,Machine Learning,2,Offline,39
118,1,1,Full Stack Developer,Online,14,JavaScript Essentials,Udemy,JavaScript,1,Online,30
119,3,2,Data Scientist,Offline,13,Intro to AI Concepts,Coursera,Artificial Intelligence,2,Offline,26
120,2,2,Backend Developer,Online,18,DevOps Bootcamp,Coursera,DevOps,3,Online,33
121,2,1,Software Architect,Offline,17,AWS Foundations,Udemy,Cloud Computing,1,Offline,35
122,1,1,Software Architect,Offline,23,Deep Learning Advanced,Udemy,Deep Learning,1,Offline,11
123,1,3,Cloud Engineer,Online,16,DevOps Bootcamp,Coursera,DevOps,2,Online,30
124,2,1,Frontend Developer,Online,27,Deep Learning Advanced,edX,Deep Learning,3,Online,22
125,3,1,Frontend Developer,Offline,29,Deep Learning Advanced,edX,Deep Learning,3,Offline,36
126,2,1,Cloud Engineer,Online,25,AWS Foundations,Udemy,Cloud Computing,2,Online,11
127,3,1,Machine Learning,Online,6,Deep Learning Advanced,Udemy,Deep Learning,2,Online,26
128,1,2,Frontend Developer,Online,28,Deep Learning Advanced,Coursera,Deep Learning,1,Online,26
129,3,3,Cloud Engineer,Offline,8,AWS Foundations,Udemy,Cloud Computing,1,Offline,7
130,2,3,Cloud Engineer,Offline,9,Machine Learning for Beginners,Coursera,Machine Learning,2,Offline,33
131,1,1,DevOps Specialist,Offline,8,Full Stack Masterclass,edX,Full Stack Development,3,Offline,18
132,1,3,Data Scientist,Offline,11,DevOps Bootcamp,edX,DevOps,1,Offline,6
133,3,2,Cloud Engineer,Online,26,Machine Learning for Beginners,Udemy,Machine Learning,1,Online,28
134,1,3,Machine Learning,Offline,5,System Design Advanced,Udemy,System Design,2,Offline,12
135,1,3,Machine Learning,Online,11,SQL Bootcamp,Udemy,SQL,3,Online,19
136,1,2,Backend Developer,Online,15,Machine Learning for Beginners,Udemy,Machine Learning,1,Online,40
137,3,1,AI Researcher,Online,7,AWS Foundations,Coursera,Cloud Computing,3,Online,18
138,3,2,AI Researcher,Online,18,JavaScript Essentials,Udemy,JavaScript,3,Online,20
139,2,1,Machine Learning,Offline,18,Machine Learning for Beginners,Udemy,Machine Learning,2,Offline,10
140,2,3,AI Researcher,Online,28,Intro to AI Concepts,Coursera,Artificial Intelligence,2,Online,32
141,3,2,Machine Learning,Offline,11,Machine Learning for Beginners,edX,Machine Learning,2,Offline,25
142,3,2,DevOps Specialist,Online,29,System Design Advanced,Coursera,System Design,1,Online,38
143,1,3,DevOps Specialist,Online,24,DevOps Bootcamp,Coursera,DevOps,2,Online,8
144,1,1,Machine Learning,Offline,9,DevOps Bootcamp,Coursera,DevOps,2,Offline,40
145,1,2,Data Scientist,Online,10,Intro to AI Concepts,Coursera,Artificial Intelligence,1,Online,14
146,1,2,Machine Learning,Offline,15,Full Stack Masterclass,Coursera,Full Stack Development,3,Offline,11
147,1,1,Full Stack Developer,Online,14,JavaScript Essentials,Coursera,JavaScript,2,Online,5
148,1,3,Frontend Developer,Online,23,Full Stack Masterclass,Udemy,Full Stack Development,3,Online,33
149,3,2,Frontend Developer,Online,21,Deep Learning Advanced,Udemy,Deep Learning,2,Online,39
150,3,1,Full Stack Developer,Online,15,Deep Learning Advanced,Coursera,Deep Learning,1,Online,37
151,2,2,Backend Developer,Online,17,AWS Foundations,edX,Cloud Computing,1,Online,7
152,3,2,Data Scientist,Online,18,AWS Foundations,edX,Cloud Computing,1,Online,23
153,2,1,Full Stack Developer,Offline,7,Full Stack Masterclass,Coursera,Full Stack Development,3,Offline,26
154,2,2,Full Stack Developer,Online,18,AWS Foundations,Coursera,Cloud Computing,1,Online,29
155,3,2,Frontend Developer,Offline,9,Intro to AI Concepts,edX,Artificial Intelligence,1,Offline,12
156,2,2,Frontend Developer,Online,15,System Design Advanced,edX,System Design,1,Online,32
157,2,2,AI Researcher,Online,14,JavaScript Essentials,edX,JavaScript,3,Online,15
158,2,3,DevOps Specialist,Offline,11,AWS Foundations,Udemy,Cloud Computing,2,Offline,38
159,3,3,AI Researcher,Offline,20,AWS Foundations,Udemy,Cloud Computing,1,Offline,37
160,3,1,Frontend Developer,Online,6,Deep Learning Advanced,Coursera,Deep Learning,1,Online,17
161,3,1,Frontend Developer,Offline,17,AWS Foundations,edX,Cloud Computing,3,Offline,11
162,3,2,Backend Developer,Offline,5,Full Stack Masterclass,Udemy,Full Stack Development,1,Offline,30
163,2,3,Machine Learning,Offline,21,Full Stack Masterclass,Udemy,Full Stack Development,1,Offline,25
164,1,2,Backend Developer,Offline,22,JavaScript Essentials,Coursera,JavaScript,1,Offline,12
