Job Role,Day-to-Day Tasks,Associated Skills,Tools,Technologies
Product Manager,"Developing user interfaces, Cleaning and analyzing data","Python, SQL, Java, JavaScript, Scrum","GCP, GitHub, Jira","Cloud Computing, DevOps"
Product Manager,"Automating infrastructure, Designing wireframes and prototypes, Defining product roadmaps, Cleaning and analyzing data","PyTorch, TensorFlow, Scrum, Java","GitLab, AWS","Artificial Intelligence, DevOps, Internet of Things (IoT), Cybersecurity"
UI/UX Designer,"Writing and debugging code, Collaborating with team members","Docker, PyTorch, React","Power BI, Azure, Slack","Cloud Computing, Internet of Things (IoT), Blockchain, DevOps"
Machine Learning Engineer,"Writing and executing test cases, Conducting user research, Testing applications end-to-end, Building predictive models, Designing APIs","Python, Java, SQL","Jira, VS Code","Internet of Things (IoT), Cybersecurity"
Product Manager,"Managing database operations, Designing wireframes and prototypes, Building predictive models","React, Python, TensorFlow","Slack, GitHub, GitLab","Big Data, Artificial Intelligence, Cybersecurity, Cloud Computing"
Backend Developer,"Automating infrastructure, Conducting user research, Testing applications end-to-end, Performing code reviews","Node.js, Python, Sketch, Docker, PyTorch","VS Code, AWS","Big Data, Blockchain"
Frontend Developer,"Designing APIs, Performing code reviews","Sketch, Java, Scrum","Azure, Jira, GCP, MongoDB","Mobile App Development, Cybersecurity, Artificial Intelligence, Big Data"
QA Engineer,"Automating infrastructure, Performing code reviews, Monitoring system performance","Node.js, Figma, Java","Tableau, MySQL, Power BI, GCP","Web Development, Blockchain, DevOps"
Machine Learning Engineer,"Conducting user research, Developing user interfaces","Scrum, Docker, React, Kubernetes, Sketch","MongoDB, MySQL","Mobile App Development, DevOps, Internet of Things (IoT)"
QA Engineer,"Collaborating with team members, Defining product roadmaps, Developing user interfaces, Testing applications end-to-end, Writing and debugging code","Docker, Git, React, Sketch, Scrum","Power BI, VS Code, Jira, Slack","Artificial Intelligence, Big Data, Cybersecurity"
Frontend Developer,"Conducting user research, Designing APIs, Writing and executing test cases","React, Docker, Agile Methodology, Python, Kubernetes","GitLab, VS Code","Blockchain, Cloud Computing"
Software Engineer,"Cleaning and analyzing data, Writing and debugging code, Developing user interfaces, Conducting user research","Sketch, Agile Methodology, Python","AWS, MongoDB, GitHub","DevOps, Internet of Things (IoT), Machine Learning, Mobile App Development"
Full Stack Developer,"Writing and executing test cases, Testing applications end-to-end, Cleaning and analyzing data, Developing user interfaces, Performing code reviews","Java, Python, Docker, JavaScript","GitLab, Tableau, AWS, MySQL","Machine Learning, Big Data, Mobile App Development"
Frontend Developer,"Developing user interfaces, Designing wireframes and prototypes","JavaScript, Node.js, Python, Figma, TensorFlow","GitHub, MongoDB","Blockchain, Internet of Things (IoT), Big Data, Machine Learning"
Software Engineer,"Training and fine-tuning models, Building predictive models, Performing code reviews, Testing applications end-to-end, Automating infrastructure","Sketch, Scrum, SQL, React","Tableau, Power BI, AWS","Artificial Intelligence, Internet of Things (IoT), DevOps"
DevOps Engineer,"Designing APIs, Collaborating with team members, Testing applications end-to-end","Figma, JavaScript, SQL","Azure, MySQL","Machine Learning, Internet of Things (IoT)"
Product Manager,"Writing and debugging code, Performing code reviews, Defining product roadmaps","Kubernetes, Node.js, Docker, Agile Methodology","AWS, MongoDB, GitLab","Big Data, DevOps"
DevOps Engineer,"Training and fine-tuning models, Developing user interfaces, Collaborating with team members","Scrum, TensorFlow, React, Kubernetes, JavaScript","Jira, AWS, Azure","Mobile App Development, Blockchain, Artificial Intelligence, Big Data"
Frontend Developer,"Developing user interfaces, Designing wireframes and prototypes, Collaborating with team members","Figma, React, Docker, Kubernetes, Scrum","Jira, GitLab, MySQL, AWS","Internet of Things (IoT), Cybersecurity, Web Development, Blockchain"
Software Engineer,"Managing database operations, Designing wireframes and prototypes","Sketch, Agile Methodology, JavaScript","Azure, Postman, GitHub","Artificial Intelligence, Big Data, Machine Learning"
DevOps Engineer,"Designing wireframes and prototypes, Designing APIs","Node.js, TensorFlow, Kubernetes","Postman, GitHub, GCP, Power BI","Blockchain, Cloud Computing, Web Development"
UI/UX Designer,"Automating infrastructure, Building predictive models","Docker, TensorFlow, Scrum","Azure, VS Code, GCP","Machine Learning, Mobile App Development, Web Development"
DevOps Engineer,"Designing APIs, Performing code reviews, Cleaning and analyzing data","PyTorch, Git, SQL","MySQL, Slack, VS Code, Postman","Cloud Computing, Cybersecurity, Big Data"
Data Scientist,"Monitoring system performance, Defining product roadmaps, Writing and executing test cases, Managing database operations, Training and fine-tuning models","Sketch, TensorFlow, SQL, Figma, Node.js","Tableau, MySQL, Postman, Jira","Mobile App Development, Artificial Intelligence"
DevOps Engineer,"Monitoring system performance, Automating infrastructure, Performing code reviews, Cleaning and analyzing data, Writing and debugging code","Docker, Python, PyTorch","Slack, GitLab, GitHub, MongoDB","Cloud Computing, Machine Learning"
Machine Learning Engineer,"Cleaning and analyzing data, Writing and executing test cases, Performing code reviews, Testing applications end-to-end, Designing APIs","Scrum, Java, Node.js, Sketch","Jira, AWS, MongoDB, GCP","Big Data, Artificial Intelligence, Mobile App Development"
