id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,is_automated
1,Deploying applications,AI/ML Engineer,Low,Development,1,Yes,Short,Rarely,Basic,No
2,Deploying applications,Frontend Developer,Low,Development,3,No,Long,Monthly,Basic,Yes
3,Frontend development,AI/ML Engineer,Low,Maintenance,5,Yes,Short,Rarely,Basic,No
4,API integration,Database Administrator,High,Development,2,No,Medium,Monthly,Basic,Yes
5,Security auditing,Backend Developer,Medium,Development,4,Yes,Medium,Monthly,Intermediate,Yes
6,Database optimization,Full Stack Developer,Low,Development,4,No,Short,Daily,Advanced,No
7,Performance tuning,Database Administrator,Medium,Maintenance,4,No,Medium,Monthly,Intermediate,Yes
8,Code review,Technical Writer,Medium,Testing,5,No,Medium,Monthly,Intermediate,No
9,Writing user manuals,Full Stack Developer,Medium,Deployment,4,Yes,Long,Daily,Advanced,Yes
10,Writing unit tests,Full Stack Developer,Medium,Development,4,Yes,Medium,Rarely,Basic,No
11,Database optimization,Security Analyst,Medium,Documentation,4,Yes,Short,Weekly,Basic,No
12,API integration,Database Administrator,High,Testing,4,Yes,Medium,Rarely,Intermediate,Yes
13,Automated testing script,QA Engineer,High,Deployment,1,Yes,Long,Monthly,Basic,No
14,Backend maintenance,AI/ML Engineer,High,Development,5,No,Short,Monthly,Intermediate,No
15,Automated testing script,AI/ML Engineer,Medium,Documentation,1,No,Short,Rarely,Intermediate,No
16,Designing architecture,Frontend Developer,Low,Deployment,1,No,Short,Rarely,Basic,Yes
17,Cloud infrastructure management,Software Architect,Low,Maintenance,2,No,Medium,Daily,Advanced,Yes
18,Automated testing script,Software Architect,High,Documentation,2,No,Short,Monthly,Basic,Yes
19,Continuous integration setup,Backend Developer,Low,Deployment,3,No,Long,Weekly,Advanced,No
20,Bug fixing,Frontend Developer,Low,Documentation,1,No,Medium,Weekly,Advanced,No
21,Automated testing script,Frontend Developer,Low,Deployment,3,Yes,Medium,Daily,Basic,Yes
22,Frontend development,Backend Developer,Low,Development,4,No,Long,Daily,Advanced,Yes
23,Bug fixing,Software Architect,Low,Testing,3,Yes,Short,Rarely,Basic,Yes
24,Backend maintenance,Full Stack Developer,High,Testing,3,No,Medium,Weekly,Intermediate,No
25,Writing unit tests,Technical Writer,High,Maintenance,3,No,Long,Rarely,Intermediate,Yes
26,Bug fixing,Software Architect,Medium,Development,4,No,Short,Weekly,Advanced,Yes
27,Security auditing,Data Engineer,Medium,Development,4,Yes,Short,Rarely,Basic,Yes
28,Database optimization,Technical Writer,Low,Testing,4,Yes,Short,Monthly,Intermediate,No
29,Backend maintenance,Security Analyst,Low,Testing,1,No,Short,Rarely,Basic,No
30,Frontend development,Database Administrator,Low,Testing,1,No,Short,Daily,Intermediate,No
31,Backend maintenance,Software Architect,Low,Documentation,4,No,Short,Weekly,Intermediate,No
32,Automated testing script,Data Engineer,Low,Documentation,3,Yes,Short,Weekly,Intermediate,Yes
33,Designing architecture,DevOps Engineer,High,Deployment,1,No,Short,Daily,Basic,Yes
34,Code review,Data Engineer,Medium,Deployment,1,Yes,Long,Monthly,Basic,Yes
