job_role,skill
Software Engineer,"Java, Python, C++, Data Structures, Algorithms"
Frontend Developer,"HTML,CSS, JavaScript, React, Vue.js, Angular"
Backend Developer,"Node.js,Express,Django,Ruby on Rails,Java"
Full Stack Developer,"JavaScript,React,Node.js, MongoDB,Express"
DevOps Engineer,"Docker,Kubernetes,CI/CD,AWS,Terraform"
Database Administrator,"MySQL,PostgreSQL,Oracle,SQL Server,NoSQL"
Machine Learning Engineer,"Python,TensorFlow,Keras,Scikit-learn,PyTorch"
Data Scientist,"Python,R,Data Analysis,Machine Learning,SQL"
Mobile App Developer,"Swift,Kotlin,React Native,Flutter,Android SDK"
Cloud Engineer,"AWS,Azure,Google Cloud,Terraform,Docker"
Security Engineer,"Cybersecurity,Penetration Testing,Firewalls,Encryption,SIEM"
Systems Engineer,"Linux,Unix,Networking,Automation,Cloud"
Quality Assurance Engineer,"Testing,Automation,Selenium,JUnit,CI/CD"
Scrum Master,"Agile,Scrum,Project Management,Jira,Team Leadership"
Product Manager,"Product Strategy,Market Research,Agile,Roadmap,UX/UI"
UX/UI Designer,"Sketch,Figma,Adobe XD,Wireframing,Prototyping"
Technical Support Engineer,"Troubleshooting,Networking,Linux,Customer Service,Scripting"
Game Developer,"C#,Unity,Unreal Engine,Game Design,3D Modeling"
Embedded Systems Engineer,"C,C++,Embedded Linux,Microcontrollers,RTOS"
Blockchain Developer,"Blockchain,Ethereuz,Smart Contracts,Solidity,Cryptography"
AI Engineer,"Python,Deep Learning,Natural Language Processing,TensorFlow,PyTorch"
IT Manager,"Leadership,Project Management,Networking,Systems Administration,Security"
Network Engineer,"Networking,Cisco,TCP/IP,VPN,Firewall"
Site Reliability Engineer,"Linux,Monitoring,Cloud,Automation,Incident Management"
Sales Engineer,"Technical Sales,Customer Relationships,Software Demos,Solution Architecture,Networking"
Business Intelligence Developer,"SQL,ETL,Data Warehousing,Power BI,Tableau"
Technical Writer,"Documentation,Technical Communication,APIs,Markdown,Version Control"
IT Consultant,"Consulting,Networking,Cloud Solutions,Business Analysis,Security"
Cloud Architect,"AWS,Azure,Google Cloud,Infrastructure as Code,Cloud Security"
Network Administrator,"Networking,Windows Server,Cisco,Firewall,DNS"
Hardware Engineer,"Circuit Design,PCB Design,Embedded Systems,Testing,Hardware Prototyping"
Software Architect,"Software Design,System Architecture,Microservices,Cloud,Leadership"
Web Developer,"HTML,CSS,JavaScript,React,Node.js"
iOS Developer,"Swift,Objective-C,Xcode,Cocoa Touch,Core Data"
Android Developer,"Kotlin,Java, 'Android SDK,Gradle,Firebase"
JavaScript Developer,"JavaScript,ES6,React,Node.js,Vue.js"
PHP Developer,"PHP,MySQL,Laravel,Symfony,JavaScript"
Ruby Developer,"Ruby,Rails,Rake,RSpec,SQL"
